title,description,poster_url
The Devil's Daughter,"The Harlequin. A jester. Merry maker. Joker. It originates from the old French, hellquin or the fille du diable. Or, the Devil's Daughter. On the border of insanity between truth and madness, dwells the soul of Harleen Quinzel.",https://image.tmdb.org/t/p/w500/n8QTbsvNVrVu5ljkREOyWNCc9r0.jpg
Tian xia wu zei,A con-team couple (Andy Lau & Rene Liu) head west after taking a city businessman for his BMW. But an encounter with a naive young carpenter travelling home with his life savings challenges their fate as thieves.,https://image.tmdb.org/t/p/w500/1IjyqBSxyB15suArMMOXefWQu4D.jpg
Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",https://image.tmdb.org/t/p/w500/c7yCrf3PTSdp6RMGktZQhzFcFFM.jpg
Shin Chan: The Adult Empire Strikes Back,"When a new threat regresses the minds of the adults of Kasukabe back into children, its up to Shinnosuke and his friends to reclaim their parents from becoming trapped in the nostalgia of the 20th Century.",https://image.tmdb.org/t/p/w500/heJkgOCx4pHqdooYA1h7B65ghvf.jpg
Rinoplasticos: A Warrior's Journey,An army lead by a powerful Rinoplastico is threatening to destroy all the remaining villages. Mimbra must find and gather all the surviving warriors in order to come up with a way to defeat the menacing empire.,https://via.placeholder.com/300x450.png?text=No+Image
Armstrong,"Free convict, Armstrong struggles to start over, causing him to rob on his first day out. This, along with a rival fatal love affair and his friends gang affiliation could cause him a lot more than a trip back to jail.",https://image.tmdb.org/t/p/w500/zzaDFE1fjketqXEE4yYJgVG5g4q.jpg
K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",https://image.tmdb.org/t/p/w500/khNVygolU0TxLIDWff5tQlAhZ23.jpg
Ultraman Orb: Lend Me the Power of Bonds!,"Gai returned to the SSP after he was informed by Ultraman Zero that there was a new threat approaching. Whilst going back, Gai met Ultraman X who was briefly separated from his host Daichi after an enemy attack.",https://image.tmdb.org/t/p/w500/wP9KdWkSGWEKyGuMBGfxGjJdHLx.jpg
Prince of Eurasia,"Rare historical biography of Prince Oak Oakleyski was encapsulated in this movie. Filming mainly in Uzbekistan, the original homeland of royal ancestry of Prince Oak Oakleyski. Some dust-up actions were brought into play for zest.",https://via.placeholder.com/300x450.png?text=No+Image
Shatagni - The Movie,The story of the film was based on the real incidents that are happening on social media in recent times. Story revolves around the victims of a gang who morphs pictures of young girls on social media and earns money out of it.,https://via.placeholder.com/300x450.png?text=No+Image
Swathanthryam Ardharathriyil,"Jacob, a manager at a big financial firm, finds himself behind bars when he tries to save the woman he loves from being involved in a criminal case. The only way for him to survive and to escape was to break out of prison.",https://image.tmdb.org/t/p/w500/vnM2JLsWK87TtkweKvN2d9wAfdq.jpg
The Two Million Dollar Tip,"Takes place right after the events of The Million Dollar Tip (2014). Focuses on Will and how he is coping with the death of his best friend Evan, when all of the sudden his life is turned upside down once again by the mysterious Tip Man.",https://image.tmdb.org/t/p/w500/3T4drChQtjQyRNutFZjuVoMoBt7.jpg
Focus,"Bhanuchander, a cop gets murdered at a guest house. The investigating officer Vijay Shanker takes up the case and suspects it to be a possible homicide. Will Vijay and Bhanuchander's wife (Suhasini) be able to track the criminals?",https://image.tmdb.org/t/p/w500/lOzGWjceYTd0kd5HyX7Ch46O9kh.jpg
Black Hawk Down,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",https://image.tmdb.org/t/p/w500/imGygQbmuc7gC1JZiAVhJLsUWXq.jpg
Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",https://image.tmdb.org/t/p/w500/aVURelN3pM56lFM7Dgfs5TixcIf.jpg
Prithvi,Prithvi Kumar is an young IAS Officer who works as District Commissioner for Bellary District and whose honesty clashes with the illegal gaNi-dhaNigaLu (mining lords) and the corrupt politicians in the highest seats of power in Karanataka.,https://image.tmdb.org/t/p/w500/7CWUQuEp8ywd2sooKxO33R3Ghrs.jpg
Enter the Drag Dragon,"Crunch is a part-time amateur detective / full-time Drag Queen. Crunch finds himself over his head dealing with corrupt cops, gangsters, zombies, androids, mummies and ghosts. Don't miss this first ever Drag-Fu Odyssey.",https://image.tmdb.org/t/p/w500/cL0yUeuqsEJ1RUelgNgyxZlFcLl.jpg
Evangelion: 1.0 You Are (Not) Alone,The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,https://image.tmdb.org/t/p/w500/pETU4GurpeEjBOM8oytMH0yNBHx.jpg
Olokiki Oru: The Midnight Sensation,"After the fall of the Oyo Empire and its becoming a British protectorate in 1888, two rival armed robbers strikes fear on several Yoruba towns in their fight for dominance, wealth and the heart of a fearless, beautiful Princess.",https://via.placeholder.com/300x450.png?text=No+Image
The Bacon Hair,"Surrounded by towering walls and patrolled by mysterious curfew bots, Bacon City is no ordinary place in Roblox. This movie explores the life of Zayden, a poor Bacon Hair, as he uncovers the secrets of his city.",https://via.placeholder.com/300x450.png?text=No+Image
Temuan Takdir,"A movie with subtle yet powerful messages of duty, love and the deep bond of brotherhood, TEMUAN TAKDIR is the story of two dedicated police officer brothers, who intelligently pursue the Mastermind behind a security van heist.",https://via.placeholder.com/300x450.png?text=No+Image
"3: Alif, Lam, Mim",Set in the future in 2036 when Indonesia has just experienced a revolution after the civil war. Three friends who grew up together are reunited after a long time when chaos ensues due to a bomb explosion linked to their past.,https://image.tmdb.org/t/p/w500/wFLmqRKWRNemG6jOAQkFRSeL0i.jpg
Boruto: Naruto The Movie,"It's been some years since the end of the Shinobi War. Naruto Uzumaki is the 7th Hokage of Konohagakure, in this new era. His son, Boruto Uzumaki, will soon enter the Chûnin exams, alongside Sarada Uchiha and the mysterious Mitsuki.",https://image.tmdb.org/t/p/w500/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg
Snehamera Jeevitham,It's about friendship between two friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival where a tiny misunderstanding leads to a war between two close friends.,https://image.tmdb.org/t/p/w500/c6nhpJLNYA6nLsfatukqjhPhrsU.jpg
Batman: The Long Halloween,Atrocious serial killings on holidays in Gotham City send The World's Greatest Detective into action - confronting both organized crime and a unified front of classic DC Super-Villains - while attempting to stop the mysterious murderer.,https://image.tmdb.org/t/p/w500/sR7gppb0YGjwLvE6Vnj6wYv5MnW.jpg
Clank: Red Mosaic,"The deceased friend and mentor, Doctor Alfred, leaves behind a posthumous trail for Clank to follow. With little time to spare he must figure out the mystery behind the disappearance of the ""Red Mosaic"".",https://via.placeholder.com/300x450.png?text=No+Image
Family First,"A wife is murdered, a daughter disappears, and the lives of three adopted brothers fall apart. Months later, everyone has moved on but the youngest brother, Keeno Marshall, who moves mountains to try to find his presumed dead daughter.",https://image.tmdb.org/t/p/w500/iJd13v760YAyDVWa1pYDXeX7AHK.jpg
Mr. Righteous,"James Righteous, your typical ""nice guy"" walks uninterrupted through an average, quiet life. But his comfortable routine is about to change. There just comes a point when you're finally pushed past your limits and are forced to be . . . not so nice.",https://via.placeholder.com/300x450.png?text=No+Image
Kakkipada,An eight year-old girl is killed by a drug-addict who happens to be an influential personality. Will the girl get justice? Will the police be able to maintain law and order while handling a high profile case?,https://image.tmdb.org/t/p/w500/7e6d9A4p4EksMss3DibZudFMCeo.jpg
